Date,Name,Year,Letterboxd URI,Rating
2025-09-09,"Synecdoche, New York",2008,https://boxd.it/23zw,5
2025-09-09,Interstellar,2014,https://boxd.it/4VZ8,5
2025-09-09,Taxi Driver,1976,https://boxd.it/2b8y,5
2025-09-09,GoodFellas,1990,https://boxd.it/29FA,5
2025-09-09,mother!,2017,https://boxd.it/dgRU,3.5
2025-09-09,Moonlight,2016,https://boxd.it/d6bE,4
2025-09-09,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2025-09-09,Her,2013,https://boxd.it/4O24,4.5
2025-09-09,Snowpiercer,2013,https://boxd.it/3Icg,4
2025-09-09,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2025-09-09,28 Days Later,2002,https://boxd.it/2aXU,2.5
2025-09-09,Requiem for a Dream,2000,https://boxd.it/29VI,5
2025-09-09,Fight Club,1999,https://boxd.it/2a9q,5
2025-09-09,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2025-09-09,Dumb and Dumber,1994,https://boxd.it/206m,4
2025-09-09,Carlito's Way,1993,https://boxd.it/226e,4
2025-09-09,Schindler's List,1993,https://boxd.it/2aq2,4.5
2025-09-09,The Devil's Advocate,1997,https://boxd.it/286k,4
2025-09-09,American History X,1998,https://boxd.it/2bdo,3.5
2025-09-09,Contact,1997,https://boxd.it/29OM,3
2025-09-09,Kundun,1997,https://boxd.it/1XUe,3
2025-09-09,Se7en,1995,https://boxd.it/29zs,4
2025-09-09,Casino,1995,https://boxd.it/2ads,4.5
2025-09-09,Primal Fear,1996,https://boxd.it/28ws,4
2025-09-09,Heat,1995,https://boxd.it/2bg8,4.5
2025-09-09,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2025-09-09,Cape Fear,1991,https://boxd.it/28vu,4
2025-09-09,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2025-09-09,Scent of a Woman,1992,https://boxd.it/1YAu,4
2025-09-09,The Shining,1980,https://boxd.it/29Nu,5
2025-09-09,Raging Bull,1980,https://boxd.it/28yI,4.5
2025-09-09,Blue Velvet,1986,https://boxd.it/29BI,4
2025-09-09,The Godfather,1972,https://boxd.it/2aNK,5
2025-09-09,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2025-09-09,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2025-09-09,The Godfather Part II,1974,https://boxd.it/2aNq,5
2025-09-09,The Many Saints of Newark,2021,https://boxd.it/j356,3
2025-09-09,The Irishman,2019,https://boxd.it/dYOq,4
2025-09-09,The Godfather Part III,1990,https://boxd.it/2aN6,4
2025-09-09,My Cousin Vinny,1992,https://boxd.it/1WpO,3.5
2025-09-09,Donnie Brasco,1997,https://boxd.it/1YRA,4.5
2025-09-09,The Big Lebowski,1998,https://boxd.it/2b6C,4
2025-09-09,L.A. Confidential,1997,https://boxd.it/27oC,3.5
2025-09-09,Being John Malkovich,1999,https://boxd.it/2ahu,4.5
2025-09-09,Poor Things,2023,https://boxd.it/tNWU,5
2025-09-09,The Zone of Interest,2023,https://boxd.it/gJsA,5
2025-09-09,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2025-09-09,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2025-09-09,Normal People,2020,https://boxd.it/q2VY,4.5
2025-09-09,The Platform,2019,https://boxd.it/mUm6,4.5
2025-09-09,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2025-09-09,Adolescence,2025,https://boxd.it/TFGw,4.5
2025-09-09,Knives Out,2019,https://boxd.it/jWEA,2.5
2025-09-09,Marriage Story,2019,https://boxd.it/hJAw,4
2025-09-09,Chernobyl,2019,https://boxd.it/mkbG,5
2025-09-09,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3.5
2025-09-09,Venom,2018,https://boxd.it/b8wA,1
2025-09-09,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2025-09-09,Darkest Hour,2017,https://boxd.it/dZZa,3.5
2025-09-09,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2025-09-09,Suicide Squad,2016,https://boxd.it/9row,1
2025-09-09,Bird Box,2018,https://boxd.it/eh1i,2
2025-09-09,Get Out,2017,https://boxd.it/eOCm,4
2025-09-09,Silence,2016,https://boxd.it/2cAo,4.5
2025-09-09,T2 Trainspotting,2017,https://boxd.it/5vTA,2
2025-09-09,The Revenant,2015,https://boxd.it/8H5e,3.5
2025-09-09,The Danish Girl,2015,https://boxd.it/9Ohy,4
2025-09-09,The Martian,2015,https://boxd.it/8SeG,3
2025-09-09,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2025-09-09,Gone Girl,2014,https://boxd.it/6hQu,4
2025-09-09,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2025-09-09,Boyhood,2014,https://boxd.it/3178,4
2025-09-09,Gangs of Wasseypur - Making Uncut -  The Roots of Revenge from Wasseypur,2013,https://boxd.it/qnLK,4.5
2025-09-09,Django Unchained,2012,https://boxd.it/2cCk,4.5
2025-09-09,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2025-09-09,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2025-09-09,Shutter Island,2010,https://boxd.it/1U82,4.5
2025-09-09,Agora,2009,https://boxd.it/1tVc,3.5
2025-09-09,The Reader,2008,https://boxd.it/20Dq,3.5
2025-09-09,Revolutionary Road,2008,https://boxd.it/24Le,4
2025-09-09,The Midnight Meat Train,2008,https://boxd.it/1WSw,3
2025-09-09,Into the Wild,2007,https://boxd.it/22m2,4.5
2025-09-09,American Gangster,2007,https://boxd.it/23wi,4
2025-09-09,The Aviator,2004,https://boxd.it/26BU,4
2025-09-09,Saw,2004,https://boxd.it/2aWW,4
2025-09-09,The Departed,2006,https://boxd.it/28MA,4
2025-09-09,The Lives of Others,2006,https://boxd.it/2a4A,4
2025-09-09,Flipped,2010,https://boxd.it/Tb8,3.5
2025-09-09,Paan Singh Tomar,2012,https://boxd.it/3l28,5
2025-09-09,Shane Gillis: Beautiful Dogs,2023,https://boxd.it/Ijri,3
2025-09-09,Magnolia,1999,https://boxd.it/2aze,4
2025-09-09,Adaptation.,2002,https://boxd.it/26mA,4
2025-09-09,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,4
2025-09-09,Furious 7,2015,https://boxd.it/5cVs,0.5
2025-09-10,La Haine,1995,https://boxd.it/2as8,4.5
2025-09-10,Midnight Cowboy,1969,https://boxd.it/25Hi,4.5
2025-09-10,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2025-09-10,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
2025-09-10,The Graduate,1967,https://boxd.it/18Im,4
2025-09-10,Ford v Ferrari,2019,https://boxd.it/ce74,2.5
2025-09-11,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,3.5
2025-09-11,The Favourite,2018,https://boxd.it/d2hI,4
2025-09-11,Brazil,1985,https://boxd.it/2be2,3.5
2025-09-11,The Substance,2024,https://boxd.it/zanS,4
2025-09-11,It's What's Inside,2024,https://boxd.it/DOV4,2
2025-09-11,Red Eye,2005,https://boxd.it/1TNy,3
2025-09-11,Leave the World Behind,2023,https://boxd.it/re0i,2
2025-09-11,Mirage,2018,https://boxd.it/jeOm,2.5
2025-09-11,Horse Girl,2020,https://boxd.it/oioi,2.5
2025-09-11,Run,2020,https://boxd.it/jVM4,3
2025-09-11,Fractured,2019,https://boxd.it/kPL2,3
2025-09-11,Skins,2017,https://boxd.it/fsVI,2.5
2025-09-11,The Lobster,2015,https://boxd.it/7tnw,4.5
2025-09-11,Training Day,2001,https://boxd.it/27A4,3.5
2025-09-11,Old Dads,2023,https://boxd.it/Bk0o,2
2025-09-11,Bandit Queen,1994,https://boxd.it/1NoC,4.5
2025-09-11,A Woman Under the Influence,1974,https://boxd.it/1myg,5
2025-09-11,Mr. Nobody,2009,https://boxd.it/1k44,4
2025-09-11,Parasite,2019,https://boxd.it/hTha,5
2025-09-11,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2025-09-11,American Beauty,1999,https://boxd.it/71Y,4.5
2025-09-11,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2025-09-11,Inception,2010,https://boxd.it/1skk,4.5
2025-09-11,Nightcrawler,2014,https://boxd.it/780m,4
2025-09-11,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2025-09-11,Scarface,1983,https://boxd.it/2b7g,5
2025-09-11,A Bronx Tale,1993,https://boxd.it/28uQ,4.5
2025-09-11,Primer,2004,https://boxd.it/6YA,4.5
2025-09-11,Joker,2019,https://boxd.it/h4cS,4
2025-09-11,Memento,2000,https://boxd.it/2bcK,4.5
2025-09-11,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2025-09-11,"Girl, Interrupted",1999,https://boxd.it/25ds,4
2025-09-11,A Few Good Men,1992,https://boxd.it/29nw,4
2025-09-11,V for Vendetta,2005,https://boxd.it/29Ik,4
2025-09-11,Insidious,2010,https://boxd.it/H4k,3.5
2025-09-11,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2025-09-11,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,3.5
2025-09-11,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0,4
2025-09-11,Cast Away,2000,https://boxd.it/20i8,3.5
2025-09-11,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2025-09-11,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2025-09-11,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4.5
2025-09-12,Paradise,2023,https://boxd.it/H7co,1.5
2025-09-13,Spotlight,2015,https://boxd.it/a84k,4
2025-09-13,Lost in Translation,2003,https://boxd.it/2b0E,5
2025-09-13,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,5
2025-09-15,Catch Me If You Can,2002,https://boxd.it/29VS,4
2025-09-15,Notting Hill,1999,https://boxd.it/2aeK,3.5
2025-09-15,Léon: The Professional,1994,https://boxd.it/2b8S,4
2025-09-15,"New York, New York",1977,https://boxd.it/1Rw6,4
2025-09-15,Blade Runner,1982,https://boxd.it/2bcA,4
2025-09-15,Awakenings,1990,https://boxd.it/1USu,4
2025-09-15,The Firm,1993,https://boxd.it/18JY,3.5
2025-09-15,Blood Diamond,2006,https://boxd.it/28Tm,3.5
2025-09-15,Jackie Brown,1997,https://boxd.it/2aVO,4
2025-09-15,Mulholland Drive,2001,https://boxd.it/297o,4.5
2025-09-15,The Fault in Our Stars,2014,https://boxd.it/6BQa,2
2025-09-15,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2025-09-15,The King's Speech,2010,https://boxd.it/dX0,3.5
2025-09-15,12 Years a Slave,2013,https://boxd.it/2D2e,4.5
2025-09-15,300,2006,https://boxd.it/28XI,3.5
2025-09-15,Rain Man,1988,https://boxd.it/2avw,4
2025-09-15,The Panic in Needle Park,1971,https://boxd.it/1rwu,4
2025-09-15,Twelve Monkeys,1995,https://boxd.it/2beQ,4
2025-09-15,Ocean's Eleven,2001,https://boxd.it/2aZm,3.5
2025-09-15,Big Fish,2003,https://boxd.it/2a3M,4
2025-09-15,A Star Is Born,2018,https://boxd.it/aXgc,3
2025-09-15,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2025-09-15,The Grudge,2004,https://boxd.it/27Jq,4
2025-09-15,Sinners,2025,https://boxd.it/KQMM,4.5
2025-09-16,Okja,2017,https://boxd.it/dvXe,3
2025-09-16,House of Gucci,2021,https://boxd.it/nVkC,3
2025-09-16,Squid Game,2021,https://boxd.it/x1OG,3.5
2025-09-16,1917,2019,https://boxd.it/jj4y,3.5
2025-09-16,The Most Hated Woman in America,2017,https://boxd.it/e7fE,3
2025-09-16,John Wick,2014,https://boxd.it/7dEc,3.5
2025-09-16,Whiplash,2014,https://boxd.it/7bQA,4.5
2025-09-16,Gravity,2013,https://boxd.it/GZY,2.5
2025-09-16,The Number 23,2007,https://boxd.it/258C,3.5
2025-09-16,Zodiac,2007,https://boxd.it/27MO,4
2025-09-16,The Pursuit of Happyness,2006,https://boxd.it/28PE,3.5
2025-09-16,The Exorcism of Emily Rose,2005,https://boxd.it/200I,3.5
2025-09-16,50 First Dates,2004,https://boxd.it/285c,2.5
2025-09-16,Gangs of New York,2002,https://boxd.it/25FG,4
2025-09-16,K-PAX,2001,https://boxd.it/2aYo,3.5
2025-09-16,American Psycho,2000,https://boxd.it/28Vs,4
2025-09-16,Donnie Darko,2001,https://boxd.it/2b2A,4
2025-09-16,A Walk to Remember,2002,https://boxd.it/1WLq,3
2025-09-16,The Matrix,1999,https://boxd.it/2a1m,4
2025-09-16,The Blair Witch Project,1999,https://boxd.it/26ua,3.5
2025-09-16,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2025-09-16,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92,3.5
2025-09-16,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,4
2025-09-16,Face/Off,1997,https://boxd.it/29I0,3
2025-09-17,Little Women,1994,https://boxd.it/1YiU,4
2025-09-17,Vanilla Sky,2001,https://boxd.it/27TK,3.5
2025-09-18,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2025-09-18,The Long Goodbye,1973,https://boxd.it/281O,4.5
2025-09-21,The Brown Bunny,2003,https://boxd.it/1RnI,3.5
2025-09-22,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2025-09-22,There Will Be Blood,2007,https://boxd.it/20Z2,5
2025-09-23,Licorice Pizza,2021,https://boxd.it/qTKY,5
2025-09-23,Boogie Nights,1997,https://boxd.it/23um,4.5
2025-09-24,Midsommar,2019,https://boxd.it/jhxe,4
2025-09-24,Twin Peaks,1989,https://boxd.it/g8pk,5
2025-09-24,City of God,2002,https://boxd.it/2a2a,4.5
2025-09-25,Lost Highway,1997,https://boxd.it/29Wc,4
2025-09-26,George Carlin's American Dream,2022,https://boxd.it/ADUe,4.5
2025-09-26,The Woman in the Window,2021,https://boxd.it/iT56,2.5
2025-09-26,Mysterious Skin,2004,https://boxd.it/1UsG,4.5
2025-09-26,The Piano Teacher,2001,https://boxd.it/2886,5
2025-09-27,The Machinist,2004,https://boxd.it/248c,4
2025-09-27,The Holdovers,2023,https://boxd.it/vHza,4
2025-09-27,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0,3
2025-09-27,Ex Machina,2015,https://boxd.it/7T2k,4
2025-09-28,Malcolm X,1992,https://boxd.it/27WE,4.5
2025-09-28,Melancholia,2011,https://boxd.it/bPI,4
2025-09-29,Weapons,2025,https://boxd.it/EMTM,4
2025-09-29,All the President's Men,1976,https://boxd.it/29lU,4
2025-09-29,Cloud,2024,https://boxd.it/LhR0,3.5
2025-10-02,Antichrist,2009,https://boxd.it/1Inu,4
2025-10-03,Alien,1979,https://boxd.it/2awY,4.5
2025-10-03,Hereditary,2018,https://boxd.it/hNVe,4.5
2025-10-04,Enter the Void,2009,https://boxd.it/1dy2,4
2025-10-06,Eddington,2025,https://boxd.it/o6MC,4
2025-10-08,The Lighthouse,2019,https://boxd.it/icFU,5
2025-10-09,All That Jazz,1979,https://boxd.it/1JB8,5
2025-10-12,Gummo,1997,https://boxd.it/1H0Y,4
2025-10-19,The Color of Money,1986,https://boxd.it/1SSM,3.5
2025-10-19,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-10-20,Nashville,1975,https://boxd.it/25GE,4.5
2025-10-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2025-10-26,Irreversible,2002,https://boxd.it/29as,3.5
2025-10-31,aka Charlie Sheen,2025,https://boxd.it/XwoG,3.5
2025-11-03,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2025-11-03,The White Ribbon,2009,https://boxd.it/17eU,5
2025-11-03,Caché,2005,https://boxd.it/2amY,4.5
2025-11-03,Funny Games,1997,https://boxd.it/1WKM,4
2025-11-03,Dogtooth,2009,https://boxd.it/158K,4
2025-11-04,Anora,2024,https://boxd.it/Egcw,4
2025-11-04,The Master,2012,https://boxd.it/2cBG,5
2025-11-04,After Hours,1985,https://boxd.it/1VfS,5
2025-11-04,"Paris, Texas",1984,https://boxd.it/29Ts,5
2025-11-04,The Truman Show,1998,https://boxd.it/18U8,5
2025-11-06,Persona,1966,https://boxd.it/29B4,5
2025-11-06,No Regrets for Our Youth,1946,https://boxd.it/Um2,5
2025-11-06,The Conformist,1970,https://boxd.it/20cE,4
2025-11-07,Scandal,1950,https://boxd.it/1gG4,3.5
2025-11-08,Dogville,2003,https://boxd.it/2a8W,5
2025-11-08,Rashomon,1950,https://boxd.it/2a9K,4
2025-11-09,Saving Private Ryan,1998,https://boxd.it/29ro,4
2025-11-09,Yi Yi,2000,https://boxd.it/1vCw,5
2025-11-10,Ikiru,1952,https://boxd.it/251c,4.5
2025-11-13,Beau Is Afraid,2023,https://boxd.it/u2gE,3.5
2025-11-14,Alice Doesn't Live Here Anymore,1974,https://boxd.it/1KIa,4.5
2025-11-16,God Vulture and Human,2023,https://boxd.it/K6FU,4
2025-11-17,PlayTime,1967,https://boxd.it/1WLK,4.5
2025-11-17,The Wicker Man,1973,https://boxd.it/1KnG,4
2025-11-19,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2025-11-21,Seven Samurai,1954,https://boxd.it/2axi,5
2025-11-21,The House That Jack Built,2018,https://boxd.it/dWO4,4
2025-11-22,Shadows,1958,https://boxd.it/1M9c,3.5
2025-11-24,Nope,2022,https://boxd.it/sDCe,4
2025-11-25,La La Land,2016,https://boxd.it/a5fa,3.5
2025-11-26,Wild at Heart,1990,https://boxd.it/2aii,4
2025-11-26,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-11-28,The Witch,2015,https://boxd.it/9X0m,4
2025-11-29,The Devil,1972,https://boxd.it/3iRC,3.5
2025-11-29,Cure,1997,https://boxd.it/1blA,5
2025-11-29,Tokyo Sonata,2008,https://boxd.it/1ZxQ,5
2025-11-29,In the Mood for Love,2000,https://boxd.it/29tE,5
2025-12-01,Bugonia,2025,https://boxd.it/qeWY,4
2025-12-01,Carnival of Souls,1962,https://boxd.it/1KQ4,4
2025-12-01,Repulsion,1965,https://boxd.it/1TKu,5
2025-12-03,Throne of Blood,1957,https://boxd.it/251w,4
2025-12-04,"Clean, Shaven",1993,https://boxd.it/28IS,4.5
2025-12-05,Keane,2004,https://boxd.it/1Q7a,4
2025-12-08,Audition,1999,https://boxd.it/1UHm,4
2025-12-08,Amour,2012,https://boxd.it/34Q6,4.5
2025-12-09,Agra,2023,https://boxd.it/E4Ee,4
2025-12-09,Joyland,2022,https://boxd.it/AlzM,4.5
2025-12-14,Benny's Video,1992,https://boxd.it/27Hk,4
2025-12-14,25th Hour,2002,https://boxd.it/28LC,4
2025-12-14,Lady Bird,2017,https://boxd.it/dGNE,4
2025-12-14,BlacKkKlansman,2018,https://boxd.it/hxL8,4.5
2025-12-15,The Handmaiden,2016,https://boxd.it/948A,5
2025-12-15,Videodrome,1983,https://boxd.it/29uC,4
2025-12-15,The Brutalist,2024,https://boxd.it/k4BO,4.5
2025-12-16,Dahomey,2024,https://boxd.it/FFBI,3.5
2025-12-17,Fallen Leaves,2023,https://boxd.it/Bgew,5
2025-12-18,Shadows in Paradise,1986,https://boxd.it/73A,4.5
2025-12-20,Ariel,1988,https://boxd.it/73K,4
2025-12-21,The Match Factory Girl,1990,https://boxd.it/20Je,4
2025-12-21,Mother and Son,1997,https://boxd.it/S96,3.5
2025-12-22,Autumn Sonata,1978,https://boxd.it/1Rio,5
2025-12-22,The Double Life of Véronique,1991,https://boxd.it/28va,4
2025-12-23,Cries and Whispers,1972,https://boxd.it/1WK8,4
2025-12-24,Phantom Thread,2017,https://boxd.it/e4uc,5
2025-12-25,Tokyo Godfathers,2003,https://boxd.it/1Qg2,4.5
2025-12-26,The Idiots,1998,https://boxd.it/2amu,5
2025-12-28,Yojimbo,1961,https://boxd.it/1SRY,4
2025-12-29,Sanjuro,1962,https://boxd.it/1TaQ,3.5
2025-12-29,The Seventh Continent,1989,https://boxd.it/1gB4,4
2025-12-30,Sentimental Value,2025,https://boxd.it/GwcG,4.5
2025-12-31,Train Dreams,2025,https://boxd.it/LdDo,4
2026-01-01,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,4
2026-01-02,No Other Choice,2025,https://boxd.it/nKiA,4.5
2026-01-03,It Was Just an Accident,2025,https://boxd.it/TX2k,4
2026-01-05,Sirāt,2025,https://boxd.it/HxJo,4.5
